metric_code,metric_name_vi,metric_name_en,definition_vi,entity_level,unit,window,k_level,formula_id,source_tables,source_events,dimensions,thresholds_ref,kill_switch,drilldown_keys,notes
adgpro_active_count,adgpro_active_count,adgpro_active_count,Số ADG Pro có job/thi công trong kỳ.,mixed,count,point-in-time,K2,F-K2-04,job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn falling
adgpro_pass_rate,adgpro_pass_rate,adgpro_pass_rate,Tỷ lệ job của ADG Pro đạt nghiệm thu chuẩn ngay lần đầu.,system,rate,7d,K2,F-K2-05,job_master/qa_log,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn <0.85
adgpro_wallet_share,adgpro_wallet_share,adgpro_wallet_share,Tỷ trọng thu nhập từ ADG trong tổng thu nhập thợ (nếu không có tổng thu nhập thì dùng proxy theo job-share).,mixed,rate,point-in-time,K2,F-K4-05,finance_ledger/job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn falling
anc_active_nodes,anc_active_nodes,anc_active_nodes,Số ANC/CTV đang phát sinh lead trong kỳ.,mixed,count,point-in-time,K2,F-K2-03,lead_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn falling
automation_rate,Automation Rate (tỷ lệ tự động hóa),Automation rate,% tác vụ chuẩn chạy qua workflow (không nhập tay).,system,rate,rolling_30d,K5,F-TECH-01,event_log,,"commune_id,role",automation_rate,False,,Đề cương: Automation ≥80% để scale.
avg_order_value_vnd,avg_order_value_vnd,avg_order_value_vnd,Giá trị đơn hàng trung bình (VND).,mixed,vnd,point-in-time,K3,F-K3-01,job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",
bank_approval_rate,bank_approval_rate,bank_approval_rate,Tỷ lệ duyệt vay: approved/applications.,system,rate,7d,K3,F-K3-05,loan_app,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn falling
bank_approval_time_hours,bank_approval_time_hours,bank_approval_time_hours,Thời gian duyệt vay trung bình (giờ).,system,hours,point-in-time,K3,F-K3-06,loan_app,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn >120h
cancel_rate_post_close,cancel_rate_post_close,cancel_rate_post_close,Tỷ lệ hủy sau khi đã chốt (close) do chất lượng/tiền/vận hành.,mixed,rate,7d,K2,F-K2-10,job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn rising
cash_in_today_vnd,Cash-in hôm nay (VND),Cash-in today (VND),Tổng tiền thu về trong ngày theo EVT_FIN_CASH_COLLECTED (chưa trừ VAT nếu gross nhập đủ VAT).,system,vnd,1d,K4,F-PULSE-CASHIN,event_log,EVT_FIN_CASH_COLLECTED,"commune_id,product_code,cluster_id",,False,"txn_id,job_id,house_id,event_id",[Suy luận] Bổ sung kỹ thuật cho Pulse.
close_rate,close_rate,close_rate,Tỷ lệ chốt: số lead thắng / số lead đủ điều kiện chốt.,system,rate,7d,K3,F-K3-03,lead_master/job_master,,"commune_id,product_code,cluster_id",,False,"house_id,lead_id,job_id,txn_id",warn falling
